alpha,cl_cd
-8.196134143,-4.597117539
-7.833189073,-6.718709169
-7.035614087,-10.4652235
-6.492501184,-12.3186399
-5.841087223,-14.21523692
-4.25239508,-15.13032153
-3.459409133,-14.20244069
-2.090620792,-11.66806681
-1.828008824,-9.610161429
-1.373884401,-6.587239651
-0.15058192,-2.890671865
0.208332713,-0.906859054
0.673811168,2.803320898
0.996628133,4.798791802
1.355490249,6.836097787
2.109927285,10.27247353
2.577149207,12.20675877
3.547710283,16.04374233
3.97896364,17.85818161
4.410072834,19.8194649
5.308459942,23.65800026
5.738891985,26.30903083
6.492924825,30.15712046
7.104374448,32.21077141
7.862357638,32.03503488
8.876495459,28.24217192
9.311294314,26.4451664
10.14494418,22.71020058
10.47152379,20.8730429
10.76195283,19.10142981
11.34283118,15.53755371
11.63344268,13.58009118
12.07010213,9.887880194
12.18056671,7.640936945
12.36196829,6.652415915
