a,CD
-8.517491907,0.097715145
-8.336214999,0.094878366
-8.261515363,0.091095993
-8.112550391,0.084056577
-8.002099161,0.080316231
-7.963672279,0.077122227
-7.815054747,0.070503075
-7.741310571,0.067876428
-7.667653255,0.065354846
-7.376672114,0.059681287
-7.231442124,0.057159705
-7.086125273,0.054533057
-6.759618375,0.049174696
-6.54212083,0.045812587
-6.324854911,0.042730654
-5.783485222,0.037197183
-5.459149825,0.034465469
-5.099167066,0.031901861
-4.27264165,0.027741251
-3.841786888,0.026025175
-3.411134799,0.024554252
-2.550322828,0.02220778
-2.120336667,0.021542363
-1.691045385,0.021717472
-0.832752356,0.022417912
-0.404098048,0.023363505
0.02438254,0.02451923
0.880388255,0.027986405
1.308637215,0.029422306
1.73708885,0.030613053
2.594339559,0.032574283
3.023138633,0.033344766
3.452314101,0.033659964
4.311157244,0.033694986
4.741114452,0.03306459
5.170579454,0.033029568
6.030725497,0.031488602
6.460856426,0.030648075
6.890582008,0.030297855
7.74829597,0.031698734
8.140318503,0.033666968
8.496166723,0.036104497
9.100402815,0.041102132
9.348923872,0.043501137
9.561730976,0.045812587
9.987287275,0.050505531
10.19974694,0.053237245
10.41180125,0.056459266
10.80018146,0.062833264
10.94132902,0.06524978
11.08230287,0.067876428
11.36381627,0.073655052
11.50409524,0.077122227
11.65621612,0.080694468
11.85353319,0.08731362
11.92310808,0.089730136
12.0218969,0.100096639
11.95507258,0.094353036
11.95715722,0.091831454
12.04844712,0.111268647
12.01726437,0.105700154
12.01934901,0.103178572
12.12340734,0.121600128
12.0798036,0.116627008
12.08188824,0.114105427
12.17665254,0.129339983
12.31780011,0.131756499
