a,CL
-8.316172761,-0.41603641
-8.063229801,-0.464828325
-7.919156619,-0.508198916
-7.558158772,-0.589518774
-7.122054902,-0.590422328
-6.685792581,-0.58605515
-5.812167831,-0.540726859
-5.375086089,-0.50910247
-4.974375763,-0.478381634
-4.24563275,-0.416578542
-3.881288407,-0.38658055
-3.516857142,-0.353691185
-2.751658508,-0.288183522
-2.314644673,-0.258818018
-2.02344246,-0.243909377
-1.584418554,-0.147680878
-1.147771422,-0.130513353
-0.710825495,-0.103406733
0.054060763,-0.04828994
0.273375783,-0.006726457
0.456197153,0.029867479
0.858415033,0.11073556
1.0776214,0.148684827
1.296854931,0.187537648
1.735131851,0.258918412
1.954256729,0.294157018
2.173354444,0.328492069
2.611495548,0.395355063
2.830439338,0.424569975
3.049555162,0.459507396
3.48764194,0.524563282
3.706685329,0.557091225
3.925647228,0.586908507
4.363652517,0.649253731
4.582641579,0.679974567
4.801630642,0.710695402
5.348634735,0.771911184
5.604038221,0.8049662
5.859593369,0.84306606
6.443016413,0.906766615
6.77109256,0.939294559
7.13551296,0.971822502
7.973051506,1.025734556
8.41003365,1.054045914
8.847115393,1.085670303
9.648454556,1.144401312
10.0852375,1.166086607
10.52165375,1.175573924
11.31958394,1.120908908
11.57293435,1.085670303
11.79002199,1.05314236
12.15159027,0.990797135
12.1865492,0.944715882
12.25764866,0.891857975
